"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1",1,0,0,0,0.285714285714286,0.0549273021001615,0,0.0877483443708609,0.982286634460548,0,0.0294117647058824,0,0.488486842105263,0.00163934426229508,0,0,0,0,0,0,0.137479541734861,0.0016366612111293,0.981848184818482,0.00166389351081531,0,0,0,0.00162866449511401,0,0.115323854660348,0.00164744645799012,0,0.10828025477707
"2",0,1,0,0,0,0,0.537480063795853,0,0,0.385382059800664,0,0.015025041736227,0,0.182119205298013,0.137540453074434,0.352253756260434,0,0,0,0,0.00656814449917898,0.298831385642738,0,0.226973684210526,0,0.444805194805195,0.0310965630114566,0.214168039538715,0.0193548387096774,0,0.0366056572379368,0.466666666666667,0
"3",0,0,1,0,0,0,0,0,0,0,0.0284810126582278,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"4",0,0,0,1,0,0,0,0,0,0.00489396411092985,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.331230283911672,0,0,0
"5",0.285714285714286,0,0,0,1,0.786644951140065,0,0.783471074380165,0.186795491143317,0,0,0,1,0,0,0,0,0,0,0,0.0032,0,0.153473344103393,0,0,0,0,0,0,0,0,0,0
"6",0.0549273021001615,0,0,0,0.786644951140065,1,0,1,0.0164744645799012,0,0,0,0.566225165562914,0,0,0,0,0,0,0,0,0,0.00995024875621891,0,0,0,0,0,0,0,0,0,0
"7",0,0.537480063795853,0,0,0,0,1,0,0,0.289137380191693,0,0.192063492063492,0,0.00806451612903226,0.719435736677116,0.998384491114701,0,0,0,0,0.0176565008025682,0.0461783439490446,0,0.0160771704180064,0,1,0.525974025974026,0.0145161290322581,0.483920367534456,0,0.118589743589744,1,0
"8",0.0877483443708609,0,0,0,0.783471074380165,1,0,1,0.0246710526315789,0,0,0,0.597014925373134,0,0,0,0,0,0,0,0,0,0.0167785234899329,0,0,0,0,0,0,0,0,0,0
"9",0.982286634460548,0,0,0,0.186795491143317,0.0164744645799012,0,0.0246710526315789,1,0,0.0566343042071197,0,0.367986798679868,0,0,0,0,0,0,0,0.132231404958678,0,1,0,0,0,0,0,0,0.255150554675119,0,0,0.0864
"10",0,0.385382059800664,0,0.00489396411092985,0,0,0.289137380191693,0,0,1,0,0.0246305418719212,0,0.0910596026490066,0.0275526742301459,0.127272727272727,0,0,0.162751677852349,0,0.011686143572621,0.167495854063018,0,0.085667215815486,0,0.296416938110749,0.00980392156862745,0.0577557755775578,0.00955414012738853,0,0.0366056572379368,0.244186046511628,0.606741573033708
"11",0.0294117647058824,0,0.0284810126582278,0,0,0,0,0,0.0566343042071197,0,1,0.00330578512396694,0,0,0,0,0.0363036303630363,0.0447761194029851,0,0.0632911392405063,0.0284280936454849,0,0.0267558528428094,0,0.0160513643659711,0,0.0067001675041876,0,0.00318979266347687,0.0191387559808612,0.00333333333333333,0,0.332794830371567
"12",0,0.015025041736227,0,0,0,0,0.192063492063492,0,0,0.0246305418719212,0.00330578512396694,1,0,0.36241610738255,0.477272727272727,0.273170731707317,0,0,0,0,0.936348408710218,0.286666666666667,0,0.315614617940199,0,0.277867528271405,0.625,0.36318407960199,0.738019169329074,0,1,0.263772954924875,0.0257234726688103
"13",0.488486842105263,0,0,0,1,0.566225165562914,0,0.597014925373134,0.367986798679868,0,0,0,1,0,0,0,0,0,0,0,0.0186125211505922,0,0.330536912751678,0,0,0,0,0,0,0.0016,0,0,0.00486223662884927
"14",0.00163934426229508,0.182119205298013,0,0,0,0,0.00806451612903226,0,0,0.0910596026490066,0,0.36241610738255,0,1,0,0.005,0,0,0.00333333333333333,0,0.480132450331126,1,0,1,0,0.00977198697068404,0.013355592654424,1,0.0418006430868167,0,0.515859766277129,0.00981996726677578,0.0484652665589661
"15",0,0.137540453074434,0,0,0,0,0.719435736677116,0,0,0.0275526742301459,0,0.477272727272727,0,0,1,0.879227053140097,0,0,0,0,0.22508038585209,0.00161812297734628,0,0.00323101777059774,0,0.77207062600321,1,0.00159744408945687,0.887171561051005,0,0.29635761589404,0.747217806041335,0
"16",0,0.352253756260434,0,0,0,0,0.998384491114701,0,0,0.127272727272727,0,0.273170731707317,0,0.005,0.879227053140097,1,0,0,0,0,0.0543657331136738,0.03,0,0.00988467874794069,0,0.998360655737705,0.717320261437909,0.00494233937397035,0.655448717948718,0,0.171428571428571,0.998373983739837,0
"17",0,0,1,0,0,0,0,0,0,0,0.0363036303630363,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"18",0,0,1,0,0,0,0,0,0,0,0.0447761194029851,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"19",0,0,0,1,0,0,0,0,0,0.162751677852349,0,0,0,0.00333333333333333,0,0,0,0,1,0,0,0.00333333333333333,0,0.00163398692810458,0,0,0,0,0,0.231629392971246,0,0,0
"20",0,0,1,0,0,0,0,0,0,0,0.0632911392405063,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"21",0.137479541734861,0.00656814449917898,0,0,0.0032,0,0.0176565008025682,0,0.132231404958678,0.011686143572621,0.0284280936454849,0.936348408710218,0.0186125211505922,0.480132450331126,0.22508038585209,0.0543657331136738,0,0,0,0,1,0.380165289256198,0.121911037891269,0.456342668863262,0,0.0574712643678161,0.394557823129252,0.469721767594108,0.480252764612954,0,0.966101694915254,0.0584307178631052,0.0771704180064309
"22",0.0016366612111293,0.298831385642738,0,0,0,0,0.0461783439490446,0,0,0.167495854063018,0,0.286666666666667,0,1,0.00161812297734628,0.03,0,0,0.00333333333333333,0,0.380165289256198,1,0,1,0,0.0420711974110032,0.00675675675675676,1,0.0209339774557166,0,0.44839255499154,0.0413907284768212,0.0178282009724473
"23",0.981848184818482,0,0,0,0.153473344103393,0.00995024875621891,0,0.0167785234899329,1,0,0.0267558528428094,0,0.330536912751678,0,0,0,0,0,0,0,0.121911037891269,0,1,0,0,0,0,0,0,0.269230769230769,0.00665557404326123,0,0.0854838709677419
"24",0.00166389351081531,0.226973684210526,0,0,0,0,0.0160771704180064,0,0,0.085667215815486,0,0.315614617940199,0,1,0.00323101777059774,0.00988467874794069,0,0,0.00163398692810458,0,0.456342668863262,1,0,1,0,0.0132013201320132,0.0100334448160535,1,0.035426731078905,0,0.476351351351351,0.0180921052631579,0.0360065466448445
"25",0,0,1,0,0,0,0,0,0,0,0.0160513643659711,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"26",0,0.444805194805195,0,0,0,0,1,0,0,0.296416938110749,0,0.277867528271405,0,0.00977198697068404,0.77207062600321,0.998360655737705,0,0,0,0,0.0574712643678161,0.0420711974110032,0,0.0132013201320132,0,1,0.590834697217676,0.0115131578947368,0.558213716108453,0,0.181208053691275,1,0
"27",0,0.0310965630114566,0,0,0,0,0.525974025974026,0,0,0.00980392156862745,0.0067001675041876,0.625,0,0.013355592654424,1,0.717320261437909,0,0,0,0,0.394557823129252,0.00675675675675676,0,0.0100334448160535,0,0.590834697217676,1,0.0101522842639594,1,0,0.472175379426644,0.576666666666667,0
