x
CCDC138, PHLPP1
DCHS1, PHLPP1
KRTAP27-1, PHLPP1
OBSCN, USP9Y
ATXN2, C9orf84
C9orf84, HKR1
C9orf84, PRDM2
C9orf84, SPTA1
PHLPP1, TTN
PHLPP1, USP9Y
C9orf84, PHLPP1
KIAA0586, PHLPP1
OBSCN, PHLPP1
PHLPP1, RBM38
PHLPP1, ZFHX4
ABCA13, PHLPP1
ARHGAP6, PHLPP1
FAT2, PHLPP1
HKR1, PHLPP1
KMT2D, PHLPP1
MCMDC2, PHLPP1
PHLPP1, PRDM2
PHLPP1, RIMS2
PHLPP1, SPTA1
PHLPP1, UBE4B
ATXN2, TTN
SPTA1, TTN
TTN, USP33
DCHS1, USP9Y
ATXN2, OBSCN
HKR1, OBSCN
OBSCN, PRDM2
OBSCN, SPTA1
OBSCN, USP33
ATXN2, RBM38
RBM38, SPTA1
RBM38, USP33
ATXN2, ZFHX4
SPTA1, ZFHX4
USP33, ZFHX4
ABCA13, DCHS1
ABCA13, KRTAP27-1
ABCA13, SPTA1
ABCA13, USP33
ANKRD62, HKR1
ANKRD62, SPTA1
ANKRD62, USP33
ANKRD62, ZC3H6
ARHGAP6, ATXN2
ARHGAP6, PRDM2
ARHGAP6, SPTA1
ATXN2, PRDM2
ATXN2, RIMS2
ATXN2, SPTA1
CCDC138, DCHS1
CCDC138, SPTA1
CCDC138, USP33
DCHS1, HKR1
DCHS1, ZC3H6
FAT2, HKR1
FAT2, SPTA1
FAT2, USP33
FAT2, ZC3H6
HKR1, USP33
KMT2D, KRTAP27-1
KMT2D, SPTA1
KRTAP27-1, PRDM2
KRTAP27-1, USP33
MCMDC2, USP33
PRDM2, SPTA1
PRDM2, ZC3H6
RIMS2, SPTA1
RIMS2, USP33
SPTA1, UBE4B
SPTA1, USP33
